rank,tx_id,true_label,gcn_probability,missed_by
1,88261666,1.0,0.632999,0.000101
2,98059197,1.0,0.63287,0.00023
3,114749815,1.0,0.632794,0.000306
4,372812233,1.0,0.632769,0.000331
5,248919013,1.0,0.632759,0.000341
6,158378325,1.0,0.632726,0.000374
7,73218919,1.0,0.632675,0.000425
8,339553008,1.0,0.632579,0.000521
9,23146168,1.0,0.63257,0.00053
10,115063761,1.0,0.632315,0.000785
11,163652662,1.0,0.632012,0.001088
12,218091577,1.0,0.631871,0.001229
13,27742555,1.0,0.631687,0.001413
14,288354980,1.0,0.631517,0.001583
15,11502993,1.0,0.631255,0.001845
16,113295437,1.0,0.631166,0.001934
17,209682048,1.0,0.631066,0.002034
18,390582757,1.0,0.63099,0.00211
19,163654969,1.0,0.630745,0.002355
20,191111259,1.0,0.630702,0.002398
21,210239451,1.0,0.630616,0.002484
22,158375408,1.0,0.630143,0.002957
23,106342427,1.0,0.630038,0.003062
24,91857277,1.0,0.630024,0.003076
25,157636230,1.0,0.630009,0.003091
26,100135607,1.0,0.629892,0.003208
27,11579855,1.0,0.62982,0.00328
28,209523197,1.0,0.629668,0.003432
29,99923764,1.0,0.629589,0.003511
30,50332887,1.0,0.62897,0.00413
31,363528251,1.0,0.628556,0.004544
32,71451822,1.0,0.628546,0.004554
33,97820647,1.0,0.628546,0.004554
34,339157932,1.0,0.628541,0.004559
35,100036936,1.0,0.628425,0.004675
36,378155866,1.0,0.628274,0.004826
37,372812154,1.0,0.628242,0.004858
38,166093184,1.0,0.627834,0.005266
39,331613166,1.0,0.627758,0.005342
40,208931388,1.0,0.627625,0.005475
41,158373337,1.0,0.627446,0.005654
42,345158682,1.0,0.627395,0.005705
43,107697436,1.0,0.627259,0.005841
44,355100406,1.0,0.627166,0.005934
45,299329271,1.0,0.627157,0.005943
46,97717236,1.0,0.626977,0.006123
47,249236899,1.0,0.626838,0.006262
48,159034545,1.0,0.626611,0.006489
49,310043610,1.0,0.625919,0.007181
50,190014025,1.0,0.625888,0.007212
51,94372607,1.0,0.625309,0.007791
52,295083073,1.0,0.625277,0.007823
53,378154986,1.0,0.625225,0.007875
54,218091566,1.0,0.62489,0.008209
55,92096178,1.0,0.624272,0.008828
56,209490129,1.0,0.623732,0.009368
57,71450516,1.0,0.623241,0.009859
58,209681391,1.0,0.623178,0.009922
59,56394471,1.0,0.622793,0.010307
60,339094169,1.0,0.622606,0.010494
61,71785244,1.0,0.622277,0.010823
62,11567844,1.0,0.622152,0.010948
63,163691027,1.0,0.62214,0.01096
64,11586864,1.0,0.621885,0.011215
65,99258743,1.0,0.621699,0.011401
66,288717023,1.0,0.621544,0.011556
67,288125316,1.0,0.621401,0.011699
68,314046178,1.0,0.621129,0.011971
69,72294238,1.0,0.620898,0.012202
70,11566998,1.0,0.620833,0.012267
71,43523344,1.0,0.62059,0.01251
72,211083395,1.0,0.620548,0.012552
73,234561313,1.0,0.620476,0.012624
74,158373606,1.0,0.620356,0.012744
75,111235406,1.0,0.620194,0.012906
76,276941671,1.0,0.619492,0.013607
77,191632187,1.0,0.618975,0.014125
78,94003168,1.0,0.618858,0.014242
79,159028476,1.0,0.618662,0.014438
80,67661739,1.0,0.618464,0.014635
81,378250959,1.0,0.618286,0.014814
82,87602051,1.0,0.618179,0.014921
83,71988265,1.0,0.618053,0.015047
84,372960115,1.0,0.618025,0.015075
